"Filename","LOF_All_Vars","LOF_DOBIN","LOF_PCA","KNN_All_Vars","KNN_DOBIN","KNN_PCA","IFOREST_All_Vars","IFOREST_DOBIN","IFOREST_PCA"
"thyroid_new_thyroid_C3_P05_V08_CNA",0.867867867867868,0.871471471471472,0.933933933933934,0.873873873873874,0.855555555555556,0.909309309309309,0.788588588588589,0.920720720720721,0.774174174174174
"thyroid_new_thyroid_C3_P05_V09_CNA",0.921321321321321,0.860660660660661,0.914114114114114,0.876276276276276,0.870570570570571,0.905105105105105,0.830630630630631,0.881081081081081,0.884684684684685
"thyroid_new_thyroid_C3_P05_V10_CNA",0.816816816816817,0.911111111111111,0.94954954954955,0.802402402402402,0.824624624624625,0.917717717717718,0.785585585585586,0.905705705705706,0.873273273273273
"thyroid_sick_C1_P02_V01_CA0",0.460762331838565,0.62219730941704,0.705156950672646,0.579596412556054,0.649663677130045,0.643497757847534,0.591928251121076,0.45627802690583,0.562780269058296
"thyroid_sick_C1_P02_V02_CA0",0.505605381165919,0.483183856502242,0.603139013452915,0.524663677130045,0.585201793721973,0.553811659192825,0.569506726457399,0.538116591928251,0.698430493273543
"thyroid_sick_C1_P02_V03_CA0",0.559417040358744,0.816143497757848,0.573991031390135,0.470291479820628,0.571748878923767,0.541479820627803,0.5347533632287,0.616591928251121,0.621076233183857
"thyroid_sick_C1_P02_V04_CA0",0.580717488789238,0.711883408071749,0.75,0.734304932735426,0.747757847533632,0.754484304932735,0.755605381165919,0.547085201793722,0.591928251121076
"thyroid_sick_C1_P02_V05_CA0",0.552690582959641,0.62219730941704,0.496636771300448,0.524663677130045,0.541479820627803,0.576233183856502,0.641255605381166,0.60762331838565,0.54372197309417
"thyroid_sick_C1_P02_V06_CA0",0.598654708520179,0.612107623318386,0.734304932735426,0.614349775784753,0.709641255605381,0.676569506726457,0.69170403587444,0.644618834080718,0.492152466367713
"thyroid_sick_C1_P02_V07_CA0",0.624439461883408,0.682735426008969,0.512331838565022,0.56109865470852,0.562780269058296,0.498878923766816,0.634529147982063,0.494394618834081,0.79372197309417
"thyroid_sick_C1_P02_V08_CA0",0.505605381165919,0.626681614349776,0.585201793721973,0.658071748878924,0.683856502242152,0.439461883408072,0.606502242152466,0.541479820627803,0.486547085201794
"thyroid_sick_C1_P02_V09_CA0",0.550448430493274,0.608744394618834,0.62780269058296,0.575112107623318,0.605941704035874,0.603139013452915,0.61322869955157,0.536995515695067,0.650224215246637
"thyroid_sick_C1_P02_V10_CA0",0.54372197309417,0.637892376681614,0.623318385650224,0.632286995515695,0.645179372197309,0.535874439461883,0.479820627802691,0.552690582959641,0.590807174887892
"thyroid_sick_C1_P05_V01_CA0",0.646147574398696,0.700774561761109,0.720342437831227,0.741133306155728,0.782307378719935,0.709335507541786,0.596412556053812,0.69792091316755,0.629433346922136
"thyroid_sick_C1_P05_V02_CA0",0.717081125152874,0.73053403995108,0.669384427231961,0.708520179372197,0.766816143497758,0.673868732164696,0.639624949041989,0.651039543416225,0.601712189156135
"thyroid_sick_C1_P05_V03_CA0",0.694659600489197,0.720342437831227,0.543008560945781,0.692417448022829,0.765593151243375,0.64166326946596,0.614349775784753,0.662861801875255,0.609865470852018
"thyroid_sick_C1_P05_V04_CA0",0.713412148389727,0.689359967386873,0.576844679983693,0.72849571952711,0.777823073787199,0.605381165919282,0.558092132083163,0.632694659600489,0.615165103954342
"thyroid_sick_C1_P05_V05_CA0",0.646962902568284,0.6041581736649,0.618018752547901,0.675907052588667,0.655727680391358,0.619241744802283,0.6110884631064,0.707704851202609,0.643293925805137
"thyroid_sick_C1_P05_V06_CA0",0.646962902568284,0.633102323685283,0.588666938442723,0.620464737056665,0.636975132490827,0.579494496534855,0.607419486343253,0.686913982878108,0.439869547492866
"thyroid_sick_C1_P05_V07_CA0",0.691805951895638,0.67223807582552,0.560130452507134,0.662046473705666,0.7083163473298,0.57011822258459,0.564207093355075,0.578067672238076,0.510803098247044
"thyroid_sick_C1_P05_V08_CA0",0.649816551161843,0.645332246229107,0.602119853240929,0.647778230737872,0.666326946596005,0.605992662046474,0.605788830004077,0.579698328577252,0.514064410925397
"thyroid_sick_C1_P05_V09_CA0",0.717081125152874,0.685283326538932,0.585813289849164,0.729718711781492,0.719934773746433,0.698328577252344,0.589074602527517,0.751732572360375,0.545046881369751
